Timestamp,Extractor_initials,Checker_initials,Checker_comment,Article_DOI,Article_title,Article_author,Article_journal,String_development_described,String_development_comment,String_development_record_provided,String_development_record_comment,String_development_seed_papers_used,String_development_seed_papers_comment,String_sensitivity_evaluation_mentioned,String_sensitivity_evaluation_mentioned_comment,String_sensitivity_evaluation_source_number,String_sensitivity_evaluation_sources_comment,String_sensitivity_test_papers_used,String_sensitivity_test_papers_comment,String_sensitivity_test_papers_terminology,String_sensitivity_test_papers_number,String_sensitivity_test_papers_sources,String_sensitivity_test_approach,Information_specialist_involved,Information_specialist_comment,General_comment,Search sources,Final_string_provided_comment,Final_string_provided,String_development_described,String_development_comment,String_development_record_provided,String_development_record_comment,String_development_seed_papers_used,String_development_seed_papers_comment
6/26/2023 13:27:07,ML,SY,,10.1002/14651858.CD015296,Interventions for preventing and treating acute kidney injury in children,Bhatt,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,We will search the Cochrane Kidney and Transplant Register of Studies through contact with the Information Specialist using search terms relevant to this review.,,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline),  Cochrane Kidney and Transplant Register of Studies; International Clinical Trials Register (ICTRP); handsearching journals; handsearching proceedings; references; contacting researchers",Appendix 1; CENTRAL; MEDLINE; EMBASE,yes (exact search strategy for at least one source),,,,,,
6/26/2023 13:44:22,ML,SY,,10.1002/14651858.CD015097,"Community-based interventions for bite prevention, improved care-seeking and appropriate first aid in snakebite",Bhaumik,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,no,,,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), Campbell Library;  Education Resource Information Center (www.eric.ed.gov);  AfricaBib (www.africabib.org);  Scientific Electronic Library Online (SciELO) (www.scielo.org);  Global Index Medicus (WHO, www.globalindexmedicus.net); World Health Organization International Clinical Trials Registry Platform (www.who.int/clinical-trials-registry-platform); Trials Register of Promoting Health Interventions (www.eppi.ioe.ac.uk/webdatabases4/Intro.aspx?ID=12); references; contacting practitioners; New York Academy of Medicine Grey Literature Catalogue (www.nyam.org/library); 3ie (International Initiative for Impact Evaluation) Development Evidence Portal (www.developmentevidence.3ieimpact.org)",Appendix 1; MEDLINE,yes (exact search strategy for at least one source),,,,,,
6/26/2023 15:45:09,ML,SY,,10.1002/14651858.CD015332,Cognitive behavioural therapy without medication for schizophrenia,Bighelli,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""The Information Specialist will search the register of the Cochrane Schizophrenia Group using the following search strategy: *Cognit* in Intervention Field of STUDY""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), ProQuest (ABI/Inform Global, Nursing & Allied Health Database, Public Health Database), PubMed (Medline), Allied and Complementary Medicine (AMED);  BIOSIS; World Health Organization International Clinical Trials Registry Platform (www.who.int/ictrp); handsearches; contacting researchers","""The Information Specialist will search the register of the Cochrane Schizophrenia Group using the following search strategy: *Cognit* in Intervention Field of STUDY""",no (full or partial list of keywords used given in text but no exact search),,,,,,
6/26/2023 15:51:42,ML,SY,,10.1002/14651858.CD014708,Dietary interventions for managing glucose abnormalities in people with cystic fibrosis,Birch,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""The Cochrane Cystic Fibrosis and Genetic Disorders Group's Information Specialist will conduct a search of the Group's Cystic Fibrosis Trials Register for relevant trials using the terms: cystic fibrosis related diabetes:kw.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), Google Scholar, OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection), ISRCTN registry (www.isrctn.com);  ANZCTR registry (www.anzctr.org.au);  The World Health Organization International Clinical Trials Registry Platform (ICTRP; trialsearch.who.int/); Open Grey; references",Appendix 1,yes (exact search strategy for all sources),,,,,,
6/26/2023 15:59:52,ML,SY,,10.1002/14651858.CD014755,"Fertility‐sparing, surgical interventions for low‐risk, non‐metastatic gestational trophoblastic neoplasia",Boonyapipat,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,no,"None identified specifically as such. However, Acknowledgements thenk ""Jo Platt for designing the search strategy,"" . Based on Linkedin profile, Jo Platt is ""working part-time as the Information Specialist with the Cochrane Gynaecological, Neuro-oncology & Orphan Cancer Group (CGNOC), based at the Royal United Hospital, Bath"".",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection), World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP); references; citations; handsearching journals; conference proceedings",Appendix 3; MEDLINE,yes (exact search strategy for at least one source),,,,,,
6/26/2023 16:20:34,ML,SY,,10.1002/14651858.MR000064,Clinical rating scales for assessing pain in newborn infants,Bruschettini,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,no,,,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), PubMed (Medline), World Health Organization International Clinical Trials Registry Platform (www.who.int/ictrp/search/en/); ePub; references","Appendix 1; PubMed, CINAHL Complete (via EBSCOhost), Cochrane Library, Embase",yes (exact search strategy for at least one source),,,,,,
6/26/2023 16:33:59,ML,SY,,10.1002/14651858.CD014662,Care planning or case management for frequent emergency department attendance in adults,Budhwani,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""The search strategy in Appendix 1 has been peer reviewed by a second Cochrane Information Specialist and will be adapted for running in the other databases."" ""We will develop the search strategies in consultation with the EPOC Information Specialist.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection), Epistemonikos (www.epistemonikos.org); WHO ICTRP (World Health Organization International Clinical Trials Registry Platform; www.who.int/ictrp)",Appendix 1; MEDLINE,yes (exact search strategy for at least one source),,,,,,
6/26/2023 16:47:22,ML,SY,add additional statement about IS involvement,10.1002/14651858.CD015014,Uncut Roux-en-Y reconstruction after distal gastrectomy for gastric cancer,Cai,Cochrane Database of Systematic Reviews,no,"Mentioning that validated hedges will be used: ""We will combine the subject‐specific strategy with the sensitivity‐ and precision‐maximising version of the Cochrane highly sensitive search strategy for identifying randomised trials (2008 revision) (Higgins 2019). We will combine the Ovid Embase search with the RCT filter terms developed by the UK Cochrane Centre (Glanville 2019).""",no,,,,no,"Mentioning hedges: ""We will combine the subject‐specific strategy with the sensitivity‐ and precision‐maximising version of the Cochrane highly sensitive search strategy for identifying randomised trials (2008 revision) (Higgins 2019). We will combine the Ovid Embase search with the RCT filter terms developed by the UK Cochrane Centre (Glanville 2019).""",,,,,,,,,no,,,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), PubMed (Medline), Wanfang Data Knowledge Service Platform;  ​​​​​China National Knowledge Infrastructure (CNKI)​​​​​​; World Health Organization International Clinical Trials Registry Platform (WHO ICTRP);  Chinese Clinical Trial Registry; references; handsearching proceedings","Appendix 1, PubMed; Appendix2, Embase Ovid",yes (exact search strategy for at least one source),,,,,,
6/26/2023 17:30:17,ML,SY,,10.1002/14651858.CD015009,Speech and language therapy interventions for speech problems in Parkinson's disease,Campbell,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,no,"Not mentioning explicitly: ""We will develop a comprehensive search strategy in MEDLINE combining uncontrolled vocabulary terms and Medical Subject Heading (MeSH) terms for (a) Parkinson’s disease AND (b) speech and language AND (c) randomized controlled trial filter (e.g. Glanville 2019; Lefebvre 2021). Searches will be peer‐reviewed in accordance with Peer Review of Electronic Search Strategies (PRESS) guidelines (McGowan 2016).""",Search strategy not finalised?,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), Google Scholar, OVID (Embase/Embase Classic, PsycINFO, Medline), ProQuest (ABI/Inform Global, Nursing & Allied Health Database, Public Health Database), Speech Pathology Database for Best Interventions and Treatment Efficacy (speechBITE), University of Sydney (speechbite.com);  CenterWatch Clinical Trials listing service (www.centerwatch.com); World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP) (www.who.int/ictrp/en); e‐theses online service (EThOS) (ethos.bl.uk/Home.do); Networked Digital Library of Theses and Dissertations (NDLTD) (ndltd.org/).  DART‐Europe E‐theses Portal (www.dart-europe.eu/basic-search.php).  Open Access Theses and Dissertations (oatd.org);  PQDT Open (www.proquest.com/?defaultdiss=true); citations; references, contacting researchers","Appendix 1, MEDLINE; Appendix 2, CENTRAL; Appendix 3, CINAHL EBSCO ",yes (exact search strategy for at least one source),,,,,,
6/26/2023 17:35:53,ML,SY,,10.1002/14651858.CD015411,BIO-AST Biologics for chronic severe asthma: a network meta-analysis,Crossingham,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"Contributions of editorial team: ""Elizabeth Stovold (Information Specialist): designed the search strategy.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), Cochrane Airways Trials Register (Cochrane Airways Trials Register); citations; references; pharmaceutical company trial registries and regulatory submissions for additional studies and data World Health Organization International Clinical Trials Registry Platform (apps.who.int/trialsearch/); ","Appendix 1, Medline",yes (exact search strategy for at least one source),,,,,,
6/26/2023 17:47:16,ML,SY,add note about search hedges in column J,10.1002/14651858.CD013933,Cradle hold versus alternate positions for bottle feeding preterm infants,Dawson,Cochrane Database of Systematic Reviews,no,"Note here: We will use methodological filters based on those developed by Cochrane (Cochrane 2021; Lefebvre 2021), and the Canadian Agency for Drugs and Technologies in Health (CADTH) (CADTH 2021), to limit retrieval to randomised controlled trials, quasi‐randomised trials, and systematic reviews.",no,,,,no,,,,,,,,,,yes,"""We would like to thank Cochrane Neonatal: Colleen Ovelman and Jane Cracknell (former Managing Editors);  Michelle Fiander, Managing Editor and Information Specialist... Michelle Fiander designed the literature searches and wrote the search methods.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), Epistemonikos Registry of Systematic Reviews: www.epistemonikos.org; The World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP); ISRCTN Registry:https://www.isrctn.com; references; conference proceedings","Appendix 1, MEDLINE",yes (exact search strategy for at least one source),,,,,,
6/26/2023 18:13:19,ML,SY,,10.1002/14651858.CD014927,Pain control during panretinal photocoagulation for diabetic retinopathy,Denadai,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""The Cochrane Eyes and Vision Information Specialist will search the following electronic databases.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), ISRCTN registry (www.isrctn.com); World Health Organization International Clinical Trials Registry Platform (www.who.int/ictrp); references","Appendix 1, CENTRAL; Appendix 2, MEDLINE; Appendix 3, Embase; Appendix 4, ISRCTN; Appendix 5, Clinicaltrials.gov; Appendix 6, WHO ICTRP",yes (exact search strategy for all sources),,,,,,
6/27/2023 12:15:27,ML,SY,add note about sensitive search hedge to column P and J,10.1002/14651858.CD015135,Interventions for hyperhidrosis,Dunford,Cochrane Database of Systematic Reviews,no,"Using hedges in search string: ""[Lines 15‐24: Cochrane Highly Sensitive Search Strategy for identifying randomized trials in MEDLINE: sensitivity‐ and precision‐maximizing version (2008 revision); Ovid format, from section 3.6.1 in Lefebvre C, Glanville J, Briscoe S, Littlewood A, Marshall C, Metzendorf M‐I, et al. Technical Supplement to Chapter 4: Searching for and selecting studies. In: Higgins JPT, Thomas J, Chandler J, Cumpston MS, Li T, Page MJ, Welch VA (eds). Cochrane Handbook for Systematic Reviews of Interventions Version 6. Cochrane, 2019. Available from: www.training.cochrane.org/handbook]""",no,,,,no,"Using hedges in search string: ""[Lines 15‐24: Cochrane Highly Sensitive Search Strategy for identifying randomized trials in MEDLINE: sensitivity‐ and precision‐maximizing version (2008 revision); Ovid format, from section 3.6.1 in Lefebvre C, Glanville J, Briscoe S, Littlewood A, Marshall C, Metzendorf M‐I, et al. Technical Supplement to Chapter 4: Searching for and selecting studies. In: Higgins JPT, Thomas J, Chandler J, Cumpston MS, Li T, Page MJ, Welch VA (eds). Cochrane Handbook for Systematic Reviews of Interventions Version 6. Cochrane, 2019. Available from: www.training.cochrane.org/handbook]""",,,,,,,,,yes,"""he Cochrane Skin Information Specialist (Liz Doney) will search the following databases for relevant trials with no date restrictions: ... Liz Doney has devised a draft search strategy for RCTs for MEDLINE (Ovid), which is displayed in Appendix 2. The draft MEDLINE strategy will be peer‐reviewed by another Cochrane Information Specialist prior to execution using the Search methods and strategy peer review assessment form for Cochrane intervention protocols. ""","Using hedges in search string: ""[Lines 15‐24: Cochrane Highly Sensitive Search Strategy for identifying randomized trials in MEDLINE: sensitivity‐ and precision‐maximizing version (2008 revision); Ovid format, from section 3.6.1 in Lefebvre C, Glanville J, Briscoe S, Littlewood A, Marshall C, Metzendorf M‐I, et al. Technical Supplement to Chapter 4: Searching for and selecting studies. In: Higgins JPT, Thomas J, Chandler J, Cumpston MS, Li T, Page MJ, Welch VA (eds). Cochrane Handbook for Systematic Reviews of Interventions Version 6. Cochrane, 2019. Available from: www.training.cochrane.org/handbook]""","ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), e Cochrane Skin Specialised Register 2021 via the Cochrane Register of Studies (CRS‐Web); The World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP); references; contacting researchers","Appendix 2, MEDLINE",yes (exact search strategy for at least one source),,,,,,
6/27/2023 12:22:56,ML,SY,,10.1002/14651858.CD014902,Exercise and physical therapy for systemic sclerosis,Frade,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,no,,,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), ProQuest (ABI/Inform Global, Nursing & Allied Health Database, Public Health Database), Web of Science (Medline, Web of Science Core Collection), Physiotherapy Evidence Database (Neuroscience Research Australia (NeuRA)); Center for International Rehabilitation Research Information and Exchange database (RehabDATA); World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP); references; contacting researchers","Appendix 1, MEDLINE ",yes (exact search strategy for at least one source),,,,,,
6/27/2023 12:32:32,ML,SY,add note about hedges to column J,10.1002/14651858.CD014828,Prone position for management of respiratory failure in non-intubated adults,Furyk,Cochrane Database of Systematic Reviews,no,"Using hedges in the search string: ""We combined the MEDLINE search with an RCT filter, as recommended by the Cochrane Handbook (Lefebvre 2021).""",no,,,,no,,,,,,,,,,yes,"""Our search strategy was developed with our local information specialist and peer‐reviewed by the Cochrane Anaesthesia/Cochrane Emergency and Critical Care Information Specialist.""","Using hedges in the search string: ""We combined the MEDLINE search with an RCT filter, as recommended by the Cochrane Handbook (Lefebvre 2021).""","ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection),  World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP); references; citations; conference proceedings; contacting researchers","Appendix 1, MEDLINE",yes (exact search strategy for at least one source),,,,,,
6/27/2023 12:40:35,ML,SY,add note about hedges to columns P and J,10.1002/14651858.CD015253,Autoinflation for otitis media with effusion (OME) in children,Galbraith,Cochrane Database of Systematic Reviews,no,"""The subject strategies for databases will be modelled on the search strategy designed for CENTRAL, Ovid MEDLINE and Ovid Embase (Appendix 1). The search strategies were designed to identify all relevant studies for a suite of reviews on various interventions for otitis media with effusion. Where appropriate, these will be combined with subject strategy adaptations of the highly sensitive search strategy designed by Cochrane for identifying randomised controlled trials and controlled clinical trials (as described in the Technical Supplement to Chapter 4 of the Cochrane Handbook for Systematic Reviews of Interventions version 6.1; Lefebvre 2020).""",no,,,,no,"""The subject strategies for databases will be modelled on the search strategy designed for CENTRAL, Ovid MEDLINE and Ovid Embase (Appendix 1). The search strategies were designed to identify all relevant studies for a suite of reviews on various interventions for otitis media with effusion. Where appropriate, these will be combined with subject strategy adaptations of the highly sensitive search strategy designed by Cochrane for identifying randomised controlled trials and controlled clinical trials (as described in the Technical Supplement to Chapter 4 of the Cochrane Handbook for Systematic Reviews of Interventions version 6.1; Lefebvre 2020).""",,,,,,,,,yes,"""The Cochrane ENT Information Specialist will conduct systematic searches for randomised controlled trials and controlled clinical trials.""","""The subject strategies for databases will be modelled on the search strategy designed for CENTRAL, Ovid MEDLINE and Ovid Embase (Appendix 1). The search strategies were designed to identify all relevant studies for a suite of reviews on various interventions for otitis media with effusion. Where appropriate, these will be combined with subject strategy adaptations of the highly sensitive search strategy designed by Cochrane for identifying randomised controlled trials and controlled clinical trials (as described in the Technical Supplement to Chapter 4 of the Cochrane Handbook for Systematic Reviews of Interventions version 6.1; Lefebvre 2020).""","ClinicalTrials.gov, Cochrane Library (CENTRAL), Google Scholar, OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection), the Cochrane ENT Register; World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP); references; contacting researchers","Appendix 1, CENTRAL, MEDLINE, Embase",yes (exact search strategy for at least one source),,,,,,
